Time,X,Y,Orientation_Z,Orientation_W
2024-08-09 11:39:14,2.0558,0.0811,-0.0032,1.0
2024-08-09 11:39:17,4.0485,0.0276,-0.0314,0.9995
2024-08-09 11:39:20,6.4832,0.4228,0.3539,0.9353
2024-08-09 11:39:24,7.6228,1.8351,0.1892,0.9819
2024-08-09 11:39:27,9.4647,2.0345,-0.0014,1.0
2024-08-09 11:39:30,11.7938,2.1931,-0.0015,1.0
2024-08-09 11:39:32,13.8802,1.1486,-0.4661,0.8847
2024-08-09 11:39:35,14.9635,-0.52,-0.4051,0.9143
2024-08-09 11:39:38,16.3273,-1.4046,0.0327,0.9995
2024-08-09 11:39:41,17.866,0.274,0.6197,0.7848
2024-08-09 11:39:43,18.3673,2.3191,0.7357,0.6774
